HIVpos_only_Mtb_DEG,HIVneg_only_Mtb_DEG
ENSG00000003509,ENSG00000003056
ENSG00000004864,ENSG00000005156
ENSG00000006831,ENSG00000005471
ENSG00000008226,ENSG00000005810
ENSG00000010017,ENSG00000005884
ENSG00000010361,ENSG00000006025
ENSG00000034693,ENSG00000006634
ENSG00000035115,ENSG00000007384
ENSG00000039650,ENSG00000007866
ENSG00000043591,ENSG00000011243
ENSG00000044115,ENSG00000021300
ENSG00000047644,ENSG00000025708
ENSG00000051523,ENSG00000031003
ENSG00000054967,ENSG00000035664
ENSG00000055118,ENSG00000037749
ENSG00000063244,ENSG00000038358
ENSG00000064545,ENSG00000048392
ENSG00000066136,ENSG00000048540
ENSG00000067167,ENSG00000049768
ENSG00000067365,ENSG00000049769
ENSG00000068323,ENSG00000054282
ENSG00000070019,ENSG00000055044
ENSG00000070831,ENSG00000057252
ENSG00000071127,ENSG00000059573
ENSG00000072952,ENSG00000060140
ENSG00000074964,ENSG00000061936
ENSG00000077454,ENSG00000062485
ENSG00000077782,ENSG00000063127
ENSG00000078814,ENSG00000064300
ENSG00000082701,ENSG00000064651
ENSG00000082898,ENSG00000065060
ENSG00000086159,ENSG00000065361
ENSG00000087995,ENSG00000066336
ENSG00000088451,ENSG00000066455
ENSG00000088836,ENSG00000066468
ENSG00000089163,ENSG00000066855
ENSG00000090263,ENSG00000066933
ENSG00000090861,ENSG00000069188
ENSG00000091651,ENSG00000070047
ENSG00000092108,ENSG00000071462
ENSG00000095539,ENSG00000072071
ENSG00000099364,ENSG00000072201
ENSG00000099822,ENSG00000073578
ENSG00000099866,ENSG00000073605
ENSG00000099949,ENSG00000073803
ENSG00000100003,ENSG00000074416
ENSG00000100028,ENSG00000074621
ENSG00000100207,ENSG00000074842
ENSG00000100403,ENSG00000075340
ENSG00000100934,ENSG00000078487
ENSG00000100979,ENSG00000078596
ENSG00000101605,ENSG00000080007
ENSG00000102805,ENSG00000080493
ENSG00000102996,ENSG00000080546
ENSG00000103043,ENSG00000080561
ENSG00000103671,ENSG00000081052
ENSG00000105131,ENSG00000081665
ENSG00000105750,ENSG00000082213
ENSG00000105889,ENSG00000082293
ENSG00000105928,ENSG00000082438
ENSG00000106070,ENSG00000083454
ENSG00000106624,ENSG00000083457
ENSG00000106823,ENSG00000084093
ENSG00000107020,ENSG00000084710
ENSG00000107672,ENSG00000085491
ENSG00000107815,ENSG00000085840
ENSG00000108187,ENSG00000086102
ENSG00000108666,ENSG00000086504
ENSG00000109065,ENSG00000087087
ENSG00000109083,ENSG00000087258
ENSG00000109180,ENSG00000087510
