model,gene,variable,df,statistic,estimate,pval,FDR,condition
lm,ENSG00000048392,RISK_SCORE,17,0.959671379336648,0.03986708398166916,0.3506719744022917,0.569841958403724,MEDIA
lm,ENSG00000086159,RISK_SCORE,17,-0.5079627626252218,-0.1745052327799182,0.6180068190780195,0.7427014590599579,MEDIA
lm,ENSG00000099284,RISK_SCORE,17,-0.5053534131132705,-0.05319675869261135,0.6197995256602489,0.7427014590599579,MEDIA
lm,ENSG00000099338,RISK_SCORE,17,-0.7569950930739048,-0.07134829995822083,0.45941679716642103,0.6636020403514971,MEDIA
lm,ENSG00000102753,RISK_SCORE,17,2.052602930318359,0.0464779161495311,0.055835287500796964,0.28714092461667395,MEDIA
lm,ENSG00000104388,RISK_SCORE,17,1.6977946265202872,0.04451175121137038,0.10777497263841769,0.28714092461667395,MEDIA
lm,ENSG00000105612,RISK_SCORE,17,1.6253810709277967,0.09337070096819365,0.12247495664888315,0.28714092461667395,MEDIA
lm,ENSG00000105855,RISK_SCORE,17,1.8631943706757546,0.44357914016444433,0.07980492934341668,0.28714092461667395,MEDIA
lm,ENSG00000106723,RISK_SCORE,17,1.6039773737857763,0.08491561037678491,0.12713468660986824,0.28714092461667395,MEDIA
lm,ENSG00000119820,RISK_SCORE,17,0.6618623419865585,0.022835291524681788,0.5169314921975371,0.7073799366913666,MEDIA
lm,ENSG00000125482,RISK_SCORE,17,1.8208998505206493,0.0809194033964109,0.08627027130917017,0.28714092461667395,MEDIA
lm,ENSG00000133789,RISK_SCORE,17,1.3118013714109409,0.0695773194802263,0.2070268677043983,0.37012225380024555,MEDIA
lm,ENSG00000140945,RISK_SCORE,17,-3.222914076452589,-0.8258179386501535,0.004995004739043658,0.09198085454117415,MEDIA
lm,ENSG00000160799,RISK_SCORE,17,-1.5800253013976544,-0.0702731293116771,0.13252658059231107,0.28714092461667395,MEDIA
lm,ENSG00000169026,RISK_SCORE,17,-0.8343664853678471,-0.0844951966815146,0.41564576616778404,0.6356935247271991,MEDIA
lm,ENSG00000171219,RISK_SCORE,17,-0.27089322330483795,-0.07910093940376295,0.7897348437657348,0.8213242375163642,MEDIA
lm,ENSG00000175309,RISK_SCORE,17,-1.3631622543609352,-0.05784204468656338,0.1906146305431147,0.37012225380024555,MEDIA
lm,ENSG00000178307,RISK_SCORE,17,0.3043924358403444,0.013321957428182688,0.7645235460711561,0.8213242375163642,MEDIA
lm,ENSG00000178700,RISK_SCORE,17,1.7472505983661029,0.10989024293423023,0.09863251593198354,0.28714092461667395,MEDIA
lm,ENSG00000179344,RISK_SCORE,17,0.39182017425516225,0.0976676196681572,0.7000592884728687,0.7913713695780255,MEDIA
lm,ENSG00000182606,RISK_SCORE,17,1.9220020577637082,0.07104002965536145,0.07152945908454071,0.28714092461667395,MEDIA
lm,ENSG00000184005,RISK_SCORE,17,0.15424196219693018,0.02629708245063635,0.8792352759797055,0.8792352759797055,MEDIA
lm,ENSG00000185800,RISK_SCORE,17,-0.49282710701561483,-0.09513621427716276,0.6284396961276566,0.7427014590599579,MEDIA
lm,ENSG00000197223,RISK_SCORE,17,2.0677560076256305,0.0776325991553473,0.05423233875668965,0.28714092461667395,MEDIA
lm,ENSG00000197580,RISK_SCORE,17,-1.2923357945364837,-0.20412151950099344,0.21353206950014164,0.37012225380024555,MEDIA
lm,ENSG00000198218,RISK_SCORE,17,3.0607012158816125,0.049872168500484745,0.007075450349321088,0.09198085454117415,MEDIA
lm,ENSG00000048392,RISK_SCORE,17,-0.44923872071197735,-0.018498219459954095,0.6589339660463138,0.939167344185129,TB
lm,ENSG00000086159,RISK_SCORE,17,1.6903976562768017,0.485767313739266,0.1092034706065978,0.8296422733197052,TB
lm,ENSG00000099284,RISK_SCORE,17,0.8002729518883751,0.07914825997886443,0.43459427606725454,0.8296422733197052,TB
lm,ENSG00000099338,RISK_SCORE,17,1.5333950317223093,0.1359804989186856,0.14357762315774342,0.8296422733197052,TB
lm,ENSG00000102753,RISK_SCORE,17,0.8148406775391704,0.03805190952915099,0.4264320235286303,0.8296422733197052,TB
lm,ENSG00000104388,RISK_SCORE,17,-0.17930461345927312,-0.006181696568165467,0.8598182459529515,0.974016309507366,TB
lm,ENSG00000105612,RISK_SCORE,17,0.3611499937839272,0.026634498025388004,0.7224364186039454,0.939167344185129,TB
lm,ENSG00000105855,RISK_SCORE,17,1.5407506917375522,0.19604480827559614,0.14178475377782326,0.8296422733197052,TB
lm,ENSG00000106723,RISK_SCORE,17,0.9958059890388328,0.04913122381345776,0.333308294892416,0.8296422733197052,TB
lm,ENSG00000119820,RISK_SCORE,17,1.7786346261061667,0.05692684863301312,0.09318716373796859,0.8296422733197052,TB
lm,ENSG00000125482,RISK_SCORE,17,-0.047184738090268206,-0.0015219473918928333,0.9629158783937637,0.974016309507366,TB
lm,ENSG00000133789,RISK_SCORE,17,0.3633903273860247,0.020917369055195294,0.7207927629746254,0.939167344185129,TB
lm,ENSG00000140945,RISK_SCORE,17,0.049492758813432756,0.017644334478334193,0.9611034558953759,0.974016309507366,TB
lm,ENSG00000160799,RISK_SCORE,17,-0.03664384703922521,-0.0018129623926445505,0.9711958403400727,0.974016309507366,TB
lm,ENSG00000169026,RISK_SCORE,17,-0.4923961448998525,-0.054283399640722034,0.6287379572448274,0.939167344185129,TB
lm,ENSG00000171219,RISK_SCORE,17,-0.03305426589143894,-0.010294830684304956,0.974016309507366,0.974016309507366,TB
lm,ENSG00000175309,RISK_SCORE,17,-1.0483387475924035,-0.053661311930478905,0.30915907244072327,0.8296422733197052,TB
lm,ENSG00000178307,RISK_SCORE,17,0.880800870187277,0.05931775663871272,0.3907084094956558,0.8296422733197052,TB
lm,ENSG00000178700,RISK_SCORE,17,0.4561920035846397,0.03309882264822682,0.654025954984734,0.939167344185129,TB
lm,ENSG00000179344,RISK_SCORE,17,0.7789272943370662,0.18277896168985647,0.4467304548644566,0.8296422733197052,TB
lm,ENSG00000182606,RISK_SCORE,17,0.8082294468899446,0.021272130752485817,0.430124140235982,0.8296422733197052,TB
lm,ENSG00000184005,RISK_SCORE,17,1.011858937082257,0.2738970489380501,0.3257914965967814,0.8296422733197052,TB
lm,ENSG00000185800,RISK_SCORE,17,0.9335667227306251,0.09590764465428771,0.36359881704208474,0.8296422733197052,TB
lm,ENSG00000197223,RISK_SCORE,17,0.5433982421568946,0.03011858016173076,0.5939103242668371,0.939167344185129,TB
lm,ENSG00000197580,RISK_SCORE,17,-0.9745882518757442,-0.28247518338812894,0.3434294703399592,0.8296422733197052,TB
lm,ENSG00000198218,RISK_SCORE,17,0.18622914566940788,0.0043885909556171734,0.8544692294962694,0.974016309507366,TB
